Student ID;Student Country;Question ID;Type of Answer;Question Level;Topic;Subtopic;Keywords
647;Ireland;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
41;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
340;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
641;Italy;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
669;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
697;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
720;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
675;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
663;Portugal;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
28;Portugal;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
953;Lithuania;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
636;Italy;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
639;Italy;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
684;Ireland;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
683;Ireland;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
725;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
57;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
690;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
675;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
679;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
663;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
638;Italy;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
953;Lithuania;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
637;Italy;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
658;Ireland;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
647;Ireland;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
657;Ireland;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
674;Ireland;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
41;Portugal;79;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
41;Portugal;79;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
651;Ireland;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
1505;Portugal;79;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
664;Portugal;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
699;Portugal;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
67;Portugal;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
57;Portugal;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
57;Portugal;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
675;Portugal;79;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
679;Portugal;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
638;Italy;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency
913;Ireland;80;1;Basic;Statistics;Statistics;Population,Variance,Median,Standard deviation,Mode,Quantile,Sample,Mean
646;Ireland;80;0;Basic;Statistics;Statistics;Population,Variance,Median,Standard deviation,Mode,Quantile,Sample,Mean
641;Italy;80;0;Basic;Statistics;Statistics;Population,Variance,Median,Standard deviation,Mode,Quantile,Sample,Mean
695;Portugal;80;0;Basic;Statistics;Statistics;Population,Variance,Median,Standard deviation,Mode,Quantile,Sample,Mean
700;Portugal;80;0;Basic;Statistics;Statistics;Population,Variance,Median,Standard deviation,Mode,Quantile,Sample,Mean
675;Portugal;80;1;Basic;Statistics;Statistics;Population,Variance,Median,Standard deviation,Mode,Quantile,Sample,Mean
659;Portugal;80;0;Basic;Statistics;Statistics;Population,Variance,Median,Standard deviation,Mode,Quantile,Sample,Mean
642;Italy;80;0;Basic;Statistics;Statistics;Population,Variance,Median,Standard deviation,Mode,Quantile,Sample,Mean
637;Italy;80;0;Basic;Statistics;Statistics;Population,Variance,Median,Standard deviation,Mode,Quantile,Sample,Mean
643;Italy;80;0;Basic;Statistics;Statistics;Population,Variance,Median,Standard deviation,Mode,Quantile,Sample,Mean
741;Ireland;81;0;Basic;Statistics;Statistics;Mean,Median,Mode
647;Ireland;81;0;Basic;Statistics;Statistics;Mean,Median,Mode
674;Ireland;81;0;Basic;Statistics;Statistics;Mean,Median,Mode
713;Portugal;81;0;Basic;Statistics;Statistics;Mean,Median,Mode
41;Portugal;81;0;Basic;Statistics;Statistics;Mean,Median,Mode
669;Portugal;81;0;Basic;Statistics;Statistics;Mean,Median,Mode
1505;Portugal;81;1;Basic;Statistics;Statistics;Mean,Median,Mode
668;Portugal;81;1;Basic;Statistics;Statistics;Mean,Median,Mode
695;Portugal;81;1;Basic;Statistics;Statistics;Mean,Median,Mode
699;Portugal;81;0;Basic;Statistics;Statistics;Mean,Median,Mode
661;Portugal;81;1;Basic;Statistics;Statistics;Mean,Median,Mode
667;Portugal;81;1;Basic;Statistics;Statistics;Mean,Median,Mode
638;Italy;81;1;Basic;Statistics;Statistics;Mean,Median,Mode
1026;Lithuania;82;0;Basic;Differentiation;Derivatives;Logarithmic rule,Power rule,Exponential rule,Trigonometric rules,Product rule
